Section,Indicator Name,Abidjan,Accra,Cairo,Dakar,Johannesburg,Kampala,Kigali,Lagos,Lusaka,Nairobi ,Rabat,Tunis
Finance,International Development Finance,World Bank; AFD (Agence FranÃ§aise de DÃ©veloppement); JICA (Japan International Cooperation Agency); AIIB (Asian Infrastructure Investment Bank); EBRD (European Bank for Reconstruction and Development),World Bank; India Exim Bank; Development Bank of Southern Africa (DBSA),World Bank; EBRD,World Bank ($322M); African Development Bank (TER + $120M); Islamic Development Bank (â‚¬40.25M); French Agency for Development; European Investment Bank,World Bank; Development Bank of Southern Africa (DBSA); African Development Bank,"World Bank (BRT project); African Development Bank (KCRRP $288M); Japan International Cooperation Agency - JICA (Flyover $81M, Traffic Center $24M)",Africa50; BADEA; GIZ/BMZ; World Bank; UPS Foundation,World Bank; US Digital Transformation with Africa initiative,World Bank; AfDB; FMO; Electrifi; UNFCCC; NDC Partnership; COMESA,"World Bank ($390M digital economy project 2023-2028); UNDP (Digital Readiness Assessment 2024); EIB/World Bank Cities Climate Finance Gap Fund (â‚¬50,000 for Kenyatta Hospital solar)",World Bank,World Bank; AfDB; EIB (European Investment Bank); KfW (Germany); GIZ (Germany); AFD (France); EBRD; IFC
Finance,Chinese Financing Presence,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Unknown,TRUE
Finance,Private Sector Funding Share,Low (1-25%),High (51-75%),Low,Low (1-25%),Medium,Low,Medium,High (51-75%),Low,Medium (26-50%),Low,Low
Finance,Revenue Generation Model,User fees; Government subsidy; Mixed,Mixed,User fees; Government subsidy; Property sales,User fees; Government subsidy; Mixed,User fees; Government subsidy; Feed-in tariff,User fees; Government subsidy; Mixed,User fees; Government subsidy; Commissions; Mixed,Mixed; User fees; Government subsidy; Real estate sales; Service charges,Government subsidy; User fees,Mixed,Government subsidy; User fees; Mixed,Government subsidy; Power Purchase Agreement (energy); User fees (digital services)
Finance,Funding Transparency,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
Technology,Primary Technology Vendors,Huawei; Alstom; Bouygues; Colas Rail; Trapeze Group; Scania; Keolis; G42 Presight; Kalmar; Orange; MTN,Huawei; ZTE; IBM; Microsoft; Ascend Digital Solutions; Smart Infraco; Tata Communications Transformation Services; Axcon Energy Limited; Afcons Infrastructure; Oracle,Huawei Technologies; Honeywell International; Orange Egypt; Telecom Egypt; Siemens; Etisalat Misr; Mastercard; ZTE; Deloitte,Huawei; Thales; Alstom; CAF; Engie Ineo; Hikvision,Huawei; Hikvision; VumaCam; IBM; Genetec; GeutebrÃ¼ck; Microsoft; CSIR; Hexing; iTron,Huawei Technologies; Joint Stock Global Security Company (JSGSC); Fundoo (Weyonje app); MOSIP (open source digital ID platform),Huawei Technologies; Inmarsat; Actility; Zipline; AC Group; Ericsson; Korea Telecom; Nokia; Culligan,Huawei Technologies; MTN Nigeria; China Communications Construction Group; China Civil Engineering Construction Corporation; Equinix; LUG West Africa; Schneider Electric; Dubai Holdings,ZTE Corporation; Huawei Technologies; Liquid Intelligent Technologies; Energy China; Ordnance Survey UK,Huawei Technologies; Samsung Construction and Trading Corporation; Safaricom; Hikvision; Ericsson; Microsoft; IBM; Google; Nxtra by Airtel Africa; Azuri Technologies,Finatech Group; Alomra Group International; FIWARE Foundation; IDEMIA; MOSIP; Huawei; Onepoint; Keiretsu Forum; Oracle,Huawei; NVIDIA; AMEA Power; Xinjiang New Energy; Cybernetica (Estonia); Sagemcom; Ooredoo Tunisia; Ericsson; Adaptive Recognition; Prysmian
Technology,Technology Origin,China; France; Europe; UAE,China; USA; India; Mixed,China; USA; Europe; UAE,China; France; Europe; Spain,China; USA; Canada; Germany; South Africa; Mixed,China; Russia; India (MOSIP); Mixed,China; USA; Rwanda; Europe; South Korea; Mixed,China; Nigeria; USA; UAE; Europe,China; Africa; Europe; USA,China; South Korea; USA; Europe; Kenya,Europe; China; USA; Africa; Mixed,China; USA; Europe; UAE; Mixed
Technology,Local/African Technology Participation,Subcontractor only,Joint implementation,Subcontractor only,Subcontractor only,Joint implementation,Joint implementation,Primary contractor,Joint implementation,Subcontractor only,Joint implementation,Primary contractor,Subcontractor only
Technology,Use of Open Standards,Mixed,Unknown,Unknown,Mixed,Mixed,Mixed,Mixed,Mixed,Unknown,Primarily proprietary,Mixed,Mixed
Technology,Technology Transfer Provisions,TRUE,TRUE,TRUE,TRUE,Unknown,TRUE,TRUE,TRUE,FALSE,Unknown,TRUE,TRUE
Technology,Smart City Platform Type,Multiple separate systems,Multiple separate systems,Multiple separate systems,Multiple separate systems,Multiple separate systems; Huawei platforms; IBM Intelligent Operations; CSIR Cmore pilot,Multiple separate systems,Multiple separate systems,Multiple separate systems,Multiple separate systems,Multiple separate systems,FIWARE Smart City Platform; Multiple separate systems,Multiple separate systems
Governance,Smart City Governance Framework,Greater Abidjan Urban Mobility Authority; Ministry of Digital Transition and Digitalization; Ministry of Transport; Inter-ministerial coordination,Ministry of Communications and Digitalisation; National Information Technology Agency (NITA); Accra Metropolitan Assembly,Inter-ministerial coordination; ACUD (NAC-specific),Inter-ministerial committee; National smart city office; Municipal offices,Smart City Office; JMPD IIOC; Inter-agency coordination,Municipal smart city office (KCCA ICT department); Inter-ministerial coordination; Multi-agency partnerships,Smart City Hub Rwanda; MINICT; RISA; Inter-agency coordination,"Lagos State Science, Research and Innovation Council (LASRIC); Ministry of Science and Technology; THEMES Agenda framework",Ministry of Technology and Science; Electronic Government Division; ZICTA,Innovation and Digital Economy Sector (County); KoTDA (National); Inter-ministerial coordination under Vision 2030,Ministry of Digital Transition and Administrative Reform; Municipal smart city office; Inter-ministerial coordination,Ministry of Communication Technologies (national); Inter-ministerial coordination; Municipal governance (local)
Governance,Smart City Strategy Document,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Governance,Data Governance Policy,General policy,General policy,Comprehensive policy,Comprehensive policy,General policy,Minimal,Minimal,Minimal,Minimal,General policy,General policy,General policy
Governance,Procurement Transparency,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,High,Medium
Governance,Multi-stakeholder Participation,Government; Private sector; International organizations; Academia,Government; Private sector; International organizations; Civil society,Government; Private sector; International organizations,Government; Private sector; International organizations; Academia,Government; Private sector; Civil society; Academia; Citizens,Government; Private sector; Civil society; International organizations; Citizens; Academia,Government; Private sector; International organizations; Academia,Government; Private sector; Academia; International organizations,Government; Private sector; International organizations; Academia,Government; Private sector; International organizations; Academia,Government; Private sector; Academia; International organizations; Civil society,Government; Private sector; International organizations; Academia
Governance,Regulatory Framework,Startup Act (pending parliamentary approval); National Digital Development Plan; African Union Digital Transformation Strategy; Paris Declaration on AI,Data Protection Act 2019; Cybersecurity Act 2020 (Act 1038); Cyber and Information Security Directive; Digital Economy Policy Strategy,Personal Data Protection Law No. 151/2020; Penal Code Article 380 (fake news); ICT regulations,Senegal Law No. 2008-12 (data localization); Telecommunications Code 2018; Plan SÃ©nÃ©gal Ã‰mergent,Protection of Personal Information Act 2021; South African Smart Cities Framework 2023; CCTV Camera By-Law (repealed 2025),Digital Transformation Roadmap 2023/24-2027/28; Uganda Vision 2040; Fourth National Development Plan (NDP IV); Uganda Support to Municipal Infrastructure Development (USMID) Project,Law Governing Information and Communication Technologies (2018); Rwanda Startup Act; National AI Policy (2024),Lagos Building Code 2025; Lagos Innovation Bill; National Building Code (domesticated); Planning Permit regulations,Electronic Government Act No. 41 of 2021; ICT Act No. 15 of 2009; Electronic Communications and Transactions Act No. 21,Data Protection Act 2019; Kenya Cloud Policy 2024; National Digital Master Plan 2022-2032; National Intelligence Service Act 2012; Prevention of Terrorism Act 2012,Digital Morocco 2030 strategy; Morocco's New Development Model (2035); National cybersecurity strategy; General ICT regulations; None specific to smart cities,Personal Data Protection Law 2004; Cybersecurity Law 2023; Organic Law No. 22 and 23 of 2024 (biometric ID); Anti-Cybercrime Decree-law 54
Surveillance,CCTV Surveillance Deployment,"Extensive (city-wide network, 1000+ cameras)",Moderate,Extensive,Moderate (100-999 cameras),Extensive,Extensive,Extensive,Moderate (100-999 cameras),Extensive,"Extensive (city-wide network, 1000+ cameras)",Extensive,Extensive
Surveillance,Advanced Surveillance Technologies,Facial recognition; AI analytics; Video surveillance; Satellite imagery,Facial recognition; AI analytics; Biometrics,AI analytics; Behavior detection; License plate recognition (ANPR),Facial recognition; License plate recognition (ANPR); AI analytics,Facial recognition; ANPR; AI analytics; Drone surveillance; Biometrics,Facial recognition; License plate recognition (ANPR); AI analytics; Biometrics,Facial recognition; License plate recognition (ANPR); AI analytics; Lidar speed detection; Biometrics,License plate recognition (ANPR); AI analytics; Drone surveillance; Facial recognition (potential),Advanced monitoring; Real-time response; Integrated command and control,Facial recognition; License plate recognition (ANPR); AI analytics; Drone surveillance,Facial recognition; License plate recognition (ANPR); AI analytics; Behavior detection; Biometrics; Drone surveillance,License plate recognition (ANPR); Biometric ID (planned); Facial recognition (concern)
Surveillance,Integrated Command and Control Center,TRUE,Unknown,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Unknown
Surveillance,Stated Surveillance Purpose,Public safety; Crime prevention; Counter-terrorism; Traffic management,Public safety; Crime prevention; Emergency response; Traffic management,Public safety; Crime prevention; Traffic management; Emergency response,Public safety; Crime prevention; Security monitoring; Traffic management,Public safety; Crime prevention; Traffic management; Emergency response,Public safety; Crime prevention; Traffic management; General monitoring,Public safety; Crime prevention; Traffic management; Road safety; Security,Public safety; Crime prevention; Traffic management; Emergency response,Public safety; Crime prevention,Public safety; Crime prevention; Counter-terrorism; Traffic management; Emergency response,Public safety; Crime prevention; Traffic management; Emergency response; Event security,Public safety; Crime prevention; Traffic management
Surveillance,Surveillance Oversight Mechanisms,Weak,Weak,Weak,Weak (internal oversight only),Weak,None,Weak,Weak,Weak,Weak,Weak,Weak
Surveillance,Surveillance Data Retention Policies,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
Surveillance,Surveillance Data Access Rights,Police; Intelligence services; Municipal authorities; Multiple agencies,Unknown,Police; Intelligence services; Municipal authorities; Multiple agencies,Police; Defense and security forces; Intelligence services,Police; Metro police; SAPS; Multiple agencies; Unclear,Police; Intelligence services; Multiple agencies,Rwanda National Police; Unclear,Police; Lagos State Police Command; Municipal authorities; Unclear,Police; Drug Enforcement Commission; ZTE Zambia Services Limited,Police; Intelligence services; Multiple agencies; Unclear,Police; Municipal authorities,Police; Intelligence services; Municipal authorities; Unclear
Surveillance,Privacy Impact Assessment,Unknown,Unknown,Unknown,Unknown,Unknown,FALSE,FALSE,Unknown,Unknown,Unknown,Unknown,FALSE
Performance and Benefits,Stated Project Objectives,Improve service delivery; Increase efficiency; Enhance public safety; Economic development; Environmental sustainability; Digital independence; Urban mobility improvement,Improve service delivery; Increase efficiency; Economic development; Digital transformation; Environmental sustainability; Enhance public safety,Improve service delivery; Increase efficiency; Enhance public safety; Attract investment; Economic development; Environmental sustainability; Relieve congestion,Digital sovereignty; Improve service delivery; Economic development; Public safety; Environmental sustainability; Continental leadership,Improve service delivery; Enhance public safety; Infrastructure modernization; Energy security; Digital connectivity; Economic development; Environmental sustainability,Improve service delivery; Increase efficiency; Enhance public safety; Attract investment; Economic development; Environmental sustainability,Transform to knowledge-based economy; Improve service delivery; Enhance public safety; Attract investment; Job creation; Economic development; Digital transformation,Improve service delivery; Increase efficiency; Enhance public safety; Attract investment; Economic development; Digital transformation; Infrastructure integration,Digital transformation; Improve service delivery; Enhance public safety; Economic development; Environmental sustainability; Financial inclusion; Climate resilience,Improve service delivery; Increase efficiency; Enhance public safety; Attract investment; Economic development; Environmental sustainability; Digital transformation,Position Morocco as leading African tech hub; Accelerate e-government services; Attract investment; Economic development; Enhance public safety; Improve service delivery; Foster start-up ecosystem growth; Create jobs; Environmental sustainability,Improve service delivery; Economic development; Attract investment; Enhance public safety; Energy security; Environmental sustainability; Digital inclusion
Performance and Benefits,Documented Efficiency Gains,Tax network: 100x bandwidth increase (2-4 Mbit/s to 1 Gbit/s); Metro: 75% reduction in travel time; BRT: Reduced travel/wait times,CitizenApp consolidates services eliminating multiple office visits; AMA shortcode payment system eliminates in-person visits; Zero Waste Accra processes 40-45 tonnes/month; Railway cuts travel time vs road transport,None documented,BRT reduces travel time from 95 to 45 minutes (53% reduction); TER Dakar to airport 45 minutes,"83% emergency response time reduction (30 min to 5 min); 100,000 smart meters integrated; 99% meter conversion complete",Smart Permit processing target <14 days; eCitie automation reduced manual tax recording; Traffic light optimization ongoing,"Automated driving tests: 90% improvement (police perspective), 99% (citizen perspective); Service delivery reduced from 5 days to 24 hours (Irembo); 70% reduction in transport accidents (Tap&Go); Traffic dept digital capacity: 85%","Fibre optic deployment 99% complete for first 3,000km phase; 50,000+ solar street lights installed; MyLagosApp launched successfully March 2025",Staff time reduced by up to 90% in planning; Reduced commute times by up to 65%; 40% reduction of time taken to deliver public services; Reduced operating costs in public transport by 10%,"Smart water meters: improved billing accuracy, increased revenue collection, reduced water waste. County revenue collection: fully digitized, significantly improved efficiency. IoT waste management: 20% improvement in collection efficiency tested in Nairobi. Pilot ITS: demonstrated effectiveness on Western Ringroad",88% ML accuracy for digitizing 30 million birth certificates; Smart toilet automatic self-cleaning after every use; None documented for surveillance/traffic systems,TEREG program expected to cut electricity supply costs by 23%; ICT sector growing at 8% annually
Performance and Benefits,Documented Cost Savings,Tax network: â‚¬1.6M annual savings in bandwidth leasing; 5-year ROI achieved,"Zero Waste Accra saving municipality $5,460,000 annually in operational costs",None documented,Moving ministries to owned Diamniadio buildings saves rental costs; amounts not specified,Claims only;  Smart meter revenue losses documented,"Daily congestion cost USD 1.5M (4.2% GDP); BRT projected to save USD 173,000 daily (0.5% GDP)",Bus operators recovered 30% of revenues (Tap&Go); Rainwater harvesting reduced monthly water bills by 50%; Irembo saved 100M+ working hours,None documented,1% efficiency gain could save 1.1% of GDP,"ITS aims to address KSh 120 billion annual economic drain from congestion. UNEP building solar: 750,000 kWh annually, payback period ~10 years. Smart water meters: reduced non-revenue water losses",None documented,TEREG projected: $693 million annual reduction in energy subsidies
Performance and Benefits,Service Delivery Improvements,"Addressing system: 14,279 roads identified, 295,000 occupancy units surveyed (85% of target); Port roads: Reduced traffic jams, faster commutes; Tax collection efficiency improved; Metro/BRT under construction","CitizenApp consolidating government services; Ghana.gov expanding to 16,000 services by 2025; Digital payment systems operational; E-Government Development Index improved from 0.5624 (2022) to 0.6317 (2024); Zero Waste Accra diverted 401 metric tonnes waste (2024)",5G services launched July 2025 (Orange Egypt); Government ministries relocated to NAC (2023); 700km roads completed; Data centers operational,750+ digital procedures; integrated transport card; real-time transit info; e-health platforms; smart classrooms,Digital licensing with biometric verification; Mobile licensing trucks to communities; Smart meter dynamic pricing; Solar feed-in tariff (85.50 c/kWh residential); Citizen reporting via Innovation Challenge platforms,eCitie revenue system with mobile money/electronic banking; Over 100 government services online; Digital permits online; 98% CCTV network reliability; 16% revenue growth despite COVID,"Irembo processed 25M+ applications worth $300M, 300,000-500,000 applications monthly, 80% completed online; Tap&Go facilitated 298M journeys covering 100% of public transport; Zipline 50-150 emergency medical flights daily; 80%+ waste collection coverage","MyLagosApp provides real-time transport updates, emergency access, utility payments, e-governance; E-payment and tax filing digitized; 96% literacy rate supporting digital adoption; Metro rail operational","ZamPortal e-government services; Electronic Social Cash Transfer to 2 million people; 250 solar-powered healthcare facilities; 18,000 smart devices to 100 schools","eCitizen: 16,000+ services from 100+ government entities. M-Pesa: 4,500-6,000 transactions/second, upgraded 2025. Smart water meters: improved billing, leak detection. Digital permits reduced wait times. Example: Embakasi to CBD commute reduced from 90+ minutes to under 30 minutes via commuter rail",9 million citizens accessed digital ID services (2023); Generative AI voice-to-text for low literacy (24.8% national rate); 11 smart toilets with accessibility features; None documented for transport/traffic systems,"E-Houwiya: 200,000 subscribers; E-government portal (E-Bawaba) operational; Online revenue stamps launched 2025"
Performance and Benefits,Social Inclusion Outcomes,Mixed,Mixed,Elite-focused,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed
Performance and Benefits,Environmental Outcomes,"Metro: Carbon emissions reduction, electric traction, LED lighting, noise protection; BRT: Electric buses with ultra-fast charging, reduced fossil fuel dependence, energy efficiency monitoring; Smart parking: Reduced emissions from parking search",Air quality monitoring (Breathe Cities Initiative); Zero Waste model saved 3.6 tonnes CO2 equivalent (2023); 401 tonnes waste diverted from landfills (2024); 5MW solar power plant under construction (Appolonia City); 10 electric buses reducing emissions,"Solar energy farms planned (90 sq km, 35% of energy needs); Green spaces designed; Smart building sensors for energy optimization",First fully electric BRT in Africa; 15 MW solar plant; climate-resilient digital infrastructure,Air quality monitoring deployed; 88MW waste-to-energy planned; Solar microgrids reduce emissions; 9.21% waste diversion (target 70% by 2035),Environmental monitoring; Drainage infrastructure improvements; Waste sorting behavioral change; Plans for carbon emission reduction,"Smart waste bins with fill-level sensors deployed; Rainwater harvesting in 1,405 households; Waste recycling facilities (100 tons/day sorting, 5 tons/day biowaste); Target 80% domestic waste recycled by 2024; Solar panels planned for Vision City","Lagos Carbon Platform established; 50,000+ solar street lights; 400% EV growth 2020-2025; Climate Investment Opportunities Diagnostic launched; Top climate governance state 2 consecutive years","3,234,655 tCO2eq mitigation over 25 years; 100 MW solar capacity; Air quality monitoring; Flood risk mapping; Waste management systems","Solar power: UNEP building generates 750,000 kWh annually; Kenya solar capacity 210 MW. Smart water meters: early leak detection, reduced waste. ITS: expected to lower carbon emissions through reduced congestion. Konza: wastewater recycling, green corridors, pneumatic waste system (40 tonnes daily, eliminates trucks)",Very slow urban sprawl thanks to 1971 green belt; FIWARE circular economy models; Urban renewal environmental performance focus; GIS/remote sensing for urban planning; Smart sanitation resource efficiency; No emission/pollution reduction documented,"Kairouan solar: 117,000 tons CO2 avoided annually; 11 cities adopted SEACAPs"
Performance and Benefits,Economic Development Outcomes,"4,000 jobs (Metro construction); Increased tax revenue; Real estate development; Tech ecosystem growth; Port efficiency gains",500 green jobs created (Zero Waste Accra); Accra hosts AfCFTA Secretariat; Ranked #6 best city in Africa (2025); Medical gases facility operational serving West Africa; Tech hub attracting startups,Cairo ranked most attractive African city 2025 (attracting $11.3B FDI); Iconic Tower completed (Africa tallest); Technology contracts $640M delivered; Claims of job creation,"Projected: 280,000 jobs by 2030; 150,000 direct + 200,000 indirect digital jobs by 2034; 500 startups","Innovation hubs established; 749 Innovation Challenge applications; Sun King $1.3B commitment creating 45,000 jobs; Claims of economic hub positioning","700,000 jobs from Flyover (6 years); 110 engineers trained; Digital reforms projected 1.79M new jobs by 2030; UGX 14.6 trillion ($3.7B) potential GDP addition","Smart Rwanda 2020 aimed 100,000 jobs; KIC expected 50,000+ jobs, $300M FDI, $150M annual ICT exports; Chinese enterprises created 18,000+ jobs; AI projected 5% GDP contribution ($589M ecosystem); Economy grew 7% for 15 years pre-COVID",World fastest-growing tech city 2025; 5 unicorns created; $15.3 billion tech ecosystem valuation; $259 billion GDP (PPP); $6 billion tech funding attracted 2019-2024; 60 startups funded; 70+ university R&D initiatives,"5,000+ jobs from Smart Villages; Digital health market could reach $6.5B by 2030","Konza Phase 1: intended 16,000 jobs; aims for 2% GDP contribution; over 100,000 jobs targeted long-term. Kenyan startups: $638M funding in 2024 (29% of Africa total). Digital economy projected 10% GDP by 2030. 75% of Konza parcels committed by investors. M-Pesa ecosystem spawned fintech innovation","6,399 companies created in Rabat-SalÃ©-KÃ©nitra region (first 7 months 2024); Gaming zone targets 5,000 jobs and MAD 5B revenue by 2030; Digital Morocco 2030 targets 240,000 jobs; Oracle 1,300 employees; UNESCO trained 5,000 civil servants; Morocco ranks 88th globally, 9th Africa in Global Startup Ecosystem Index 2025; 23% startup ecosystem growth estimated 2025","ICT sector: 11% GDP, 40,000 jobs, 8% annual growth; TEREG: 30,000+ jobs projected; Startup ecosystem: $47M private capital mobilized"
Performance and Benefits,Citizen Satisfaction Evidence,Positive,No assessment,No assessment,Positive,Mixed,No assessment,Positive,Mixed,Mixed,Mixed,Mixed,No assessment
Performance and Benefits,Independent Evaluation Conducted,TRUE,FALSE,FALSE,Unknown,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Performance and Benefits,Implementation Status,Under construction,Partially operational,Partially operational,Partially operational,Partially operational,Partially operational,Partially operational,Partially operational,Partially operational,Partially operational,Partially operational,Partially operational
Systems,Broadband Infrastructure,Extensive (city-wide fiber),Moderate,Extensive,Moderate (major areas covered),Extensive,Moderate,Extensive,Moderate (major areas covered),Moderate,Extensive (city-wide fiber),Extensive,Moderate
Systems,5G Network Deployment,TRUE,TRUE,TRUE,Unknown,TRUE,Unknown,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Systems,Public Wi-Fi Availability,Unknown,Moderate,Moderate,Moderate (major public spaces),Extensive,Limited,Moderate,Limited (specific hotspots),Limited,Limited (specific hotspots),Unknown,Unknown
Systems,IoT Network Infrastructure,"IoT services set to grow with smart-city sensors, precision agriculture, logistics monitoring. Enhanced throughput drives enterprise IoT",Ascend Digital Solutions IoT suite for sensor-enabled device control; NCA Strategic Plan 2024-2028 focused on IoT; No dedicated city-wide IoT network documented,IoT via 5G networks; Honeywell IoT for surveillance; Smart sensors deployed,No dedicated IoT network,Sigfox; LoRaWAN; NB-IoT via mobile operators,Unknown,LoRaWAN network deployed city-wide by Inmarsat in partnership with Actility (2017); Data transmitted via satellite to analytics dashboards,Deployed in specific applications,LoRaWAN deployed in Smart Villages; IoT sensors for environmental monitoring,Huawei eLTE enterprise LTE wireless broadband for Safe City surveillance. IoT sensors for smart water meters (NB-IoT). IoT deployments across Konza infrastructure. No dedicated city-wide LoRaWAN or similar IoT network documented,LoRaWAN pilot; IoT sensors deployed,LoRaWAN network operational; NB-IoT via mobile operators
