Column_Name,Definition,Data_Collection_Guidance,Other_Metadata
investment_usd,Total reported capital investment in the facility in US dollars.,"Search for investment announcements, DFI project databases (IFC, AfDB, US DFC), and financial press.","Record the most recent total investment figure. Note whether this is for initial build, expansion, or total campus in comments."
expansion_plans,Whether the facility has announced expansion plans.,"Search for recent press releases, construction permits, and industry news from the last 24 months.",Indicates market confidence and future capacity trajectory.
key_tenants,"Notable tenants or anchor clients, if publicly known.","Search for client announcements, press releases, and operator case studies. Do not speculate; only record publicly confirmed tenants.",Many tenants are confidential. Only record what is publicly documented.
hyperscaler_relationships,"Narrative description of confirmed relationships with major cloud/AI providers (AWS, Azure, Google Cloud, etc.)","Basis for the 6 binary hyperscaler columns (17-22). Includes anchor tenancy, colocation, equity investment, partnership agreements, and cloud interconnects","Colocation (AWS, Azure, GCP anchor tenants)"
Microsoft,"Whether Microsoft or Azure has any confirmed engagement in the data centre (colocation, anchor tenancy, partnership, equity, interconnect)","Added in post-processing modification. Detected via contextual keyword matching on 'microsoft' and 'azure' in hyperscaler_relationships, filtering out negated mentions",Yes
AWS,Whether Amazon Web Services has any confirmed engagement in the data centre,Added in post-processing modification. Detected via 'aws' and 'amazon web services' keywords,Yes
Google,"Whether Google (Google Cloud, GCP, or Google as investor/partner) has any confirmed engagement in the data centre","Added in post-processing modification. Includes Google Cloud, GCP, Google as equity investor, Google subsea cable partnerships (e.g. Equiano), and Gemini AI rollout",Yes
cloud_act_exposure,Whether the facility or its operator is subject to the US CLOUD Act or equivalent foreign data access legislation.,Determine from parent company jurisdiction. Any US-incorporated entity or its subsidiaries can be compelled to produce data under the CLOUD Act regardless of data location.,"Derived variable: cross-reference parent_hq_country with ownership_type. If parent is US-based, exposure = 1."
chinese_involvement,Level and type of Chinese entity involvement in the facility,Ownership = Chinese parent or major shareholder. Construction/Equipment = Huawei/ZTE/Hikvision infrastructure. Investment = Chinese development finance or equity. Multiple = combination,2 - Construction/Equipment
chinese_entities,Names of specific Chinese companies involved with the facility,Only populated when chinese_involvement is not '0 - None',Huawei|ZTE
foreign_dependency_score,"Composite indicator of the facility's dependency on foreign technology, ownership, and legal jurisdiction.","Derived variable: calculate from ownership_type, parent_hq_country, open_source_stack, and cloud_act_exposure. Provide the reasoning in comments.",Analytical variable for policy research. The derivation logic should be documented and applied consistently.
open_source_stack,Whether the facility's software stack is primarily open source.,"Infer from virtualisation_platform, cloud_platform, and container_orchestration fields, plus any operator public statements on technology philosophy.",Open source stacks reduce vendor lock-in and foreign dependency. Key indicator for sovereignty-oriented analysis.
sovereignty_category,Four-tier sovereignty classification of the facility based on ultimate ownership and hyperscaler engagement. Modified from the original 3-tier system in the instructions.,"Original instructions defined 3 categories: 1-Fully African, 2-Non-US/CN Foreign, 3-US/CN Control. Modified to 4 categories: original Cat 2 became Cat 3, original Cat 3 became Cat 4, new Cat 2 splits African-owned facilities by whether any of the 6 hyperscaler binary columns (Microsoft, AWS, Google, OpenAI, Gemini, Anthropic) = Yes",2 - African with hyperscaler involvement
data_residency_guarantee,Whether the facility offers contractual guarantees that data remains within national borders.,"Search operator service level agreements, terms of service, and government hosting contracts.",Central to data sovereignty. Particularly relevant for government and financial sector clients.
local_dp_compliance,Whether the facility or operator claims compliance with the host country's data protection law.,"Search operator compliance pages, regulator registers, and legal notices. Identify the specific national law (e.g. POPIA for South Africa, NDPR for Nigeria).",Name the specific law in comments. This links to the broader DPI legal framework analysis.
total_floor_space_sqm,Total floor space of the facility in square metres.,"Search operator websites, press releases, construction announcements. Convert from sq ft if necessary (1 sqm = 10.764 sq ft).","Often reported for marketing purposes. May refer to total campus, total building, or raised floor area. Note which in comments."
rack_capacity,Total number of racks the facility can accommodate.,"Search operator specifications, marketing materials, and construction announcements.",Sometimes reported as 'cabinet' capacity. Record as reported and note terminology in comments.
it_capacity_mw,Total IT power capacity in megawatts.,"Search operator announcements, Tier certification documents, and industry databases. This refers to power available to IT equipment, excluding cooling and other overheads.","One of the most commercially sensitive variables. Many facilities do not disclose. If only total facility power is available, note this in comments and record as-is."
submarine_cable_access,Whether the facility has direct or indirect access to submarine cable landing stations.,"Cross-reference with submarine cable maps (submarinecablemap.com, afterfibre.nsrc.org) and operator connectivity specifications.","Important for latency, bandwidth capacity, and international connectivity."
ixp_presence,Whether an Internet Exchange Point is hosted at or connected to the facility.,"Check PeeringDB, African IXP Association (Af-IX), and PCH (Packet Clearing House) databases.",IXP presence is critical for local traffic exchange and reducing dependence on international transit.
carrier_neutrality,Whether the facility offers carrier-neutral connectivity.,"Check operator marketing, peering databases (PeeringDB), and IXP membership lists.",Carrier neutrality is a key differentiator for colocation facilities and affects data sovereignty options.
gpu_ai_capability,Whether the facility hosts GPU or AI accelerator infrastructure.,"Search for NVIDIA partnerships, AI cloud service announcements, and operator marketing of GPU-as-a-service or AI workloads.","Key indicator of AI-readiness. Record specific GPU models if available (e.g. NVIDIA A100, H100) in comments."
server_vendors,Primary server hardware vendors deployed in the facility.,"Search for vendor partnerships, press releases, procurement announcements. Common vendors: Dell, HPE, Lenovo, Supermicro, Huawei, Inspur.",Difficult to determine for colocation facilities where tenants bring their own hardware. Focus on operator-owned infrastructure and any publicly disclosed tenant deployments.
cloud_platform,"Cloud platform software used to deliver IaaS/PaaS services, if any.","Search for OpenStack, CloudStack, VMware Cloud Foundation, or proprietary platform mentions. Note if the facility hosts hyperscaler on-ramps (AWS Outposts, Azure Stack, Google Distributed Cloud).",Critical for sovereignty analysis. Distinguish between operator-managed cloud and hyperscaler on-ramp hosted within the facility.
security_certifications,Information security certifications held by the facility or operator.,"Search operator websites and certification body registers for: ISO 27001, ISO 27017, ISO 27018, SOC 1, SOC 2, PCI-DSS, ISO 22301. Verify certification dates are current.",List all current certifications separated by semicolons. Note expiry dates in comments if available.
gps_coordinates,Latitude and longitude of the facility.,"Search operator websites, Google Maps, and facility marketing materials. Many operators publish approximate locations. Code as 0 if unavailable.",Approximate coordinates are acceptable. Precision to 4 decimal places is sufficient.
comments,"Free text field for additional context, caveats, and notes.","Use for: proxy data explanations, conflicting source notes, partial data caveats, recent changes, and any other context that aids interpretation.",This field is essential for data quality. Encourage detailed notes.
source_urls,URLs of all sources consulted for this facility entry.,"Record every source URL consulted, separated by semicolons. Include operator websites, press releases, industry databases, government gazettes, and certification body registers.",Minimum 2 sources per facility for High confidence. Single-source entries must be flagged as Low confidence.
