"variable-id","variable-name","definition","other-metadata","data-collection-guidelines"
"african_owned_pct","African-Owned Share (%)","Estimated percentage of the cable owned by African-domiciled entities.","Format: numeric percentage (0-100) or 'undisclosed'. Comments: central to the sovereignty analysis; derive from 'shareholders' where splits are known.","Compute only where shareholder splits and their nationalities are documented. Where splits are undisclosed, enter 'undisclosed' — do not guess. Show working in 'notes'."
"length_km","System Length (km)","Total route length of the cable system in kilometres.","Format: integer, kilometres. Comments: use total system length including branches where reported; note if trunk-only.","Use the operator's stated system length. If only mileage is given, convert (1 mi = 1.60934 km) and note. Record whether figure is trunk-only or includes branches."
"origin","Origin (From)","Primary originating endpoint of the cable system.","Format: 'City, ISO country code' (e.g. 'Melkbosstrand, ZA'). Comments: 'From' and 'To' are nominal endpoints; full set of landings is in 'landings'.","Use the operator's designated terminal stations. For ring/looped systems, pick a conventional endpoint and explain topology in 'notes'."
"destination","Destination (To)","Primary terminating endpoint of the cable system.","Format: 'City, ISO country code'. Comments: see 'origin'.","As for 'origin'. For systems with multiple terminations, record the principal one and list the rest under 'landings'."
"landings","Landing Points (CLS)","All cable landing stations / countries where the cable comes ashore.","Format: semicolon-separated 'City, ISO country code' list. Comments: 'CLS' = Cable Landing Station. Order along the route where possible.","Compile the full landing list from operator route maps or Submarine Networks. Include planned landings for not-yet-RFS cables and flag as planned in 'notes'."
"region_served","Region Served","Primary world region(s) the cable connects, relevant to this dataset's scope.","Format: controlled vocabulary, multi-value semicolon-separated {West Africa, East Africa, Southern Africa, North Africa, Europe, Middle East, South Asia, East Asia, Americas}.","Classify from the landing list. Keep consistent region labels across rows to allow filtering."
"cable_type","Cable Type / Technology","Transmission technology generation of the cable.","Format: controlled vocabulary {analogue-coaxial, fibre-optic, fibre-optic-SDM}. Comments: SDM = space-division multiplexing (the high-fibre-count generation, e.g. Equiano, 2Africa).","Determine from system supplier specifications. Coaxial applies only to legacy/historical cables."
"design_capacity_tbps","Design Capacity (Tbps)","Maximum total design capacity of the cable system in terabits per second.","Format: numeric, Tbps. Comments: state whether trunk-only or full system in 'notes'. For pre-fibre cables capacity may be in Gbit/s or voice circuits — record in original unit in 'notes'.","Use the operator's stated design capacity. Distinguish DESIGN capacity (maximum potential) from LIT/used capacity. Cite the source; note the measurement basis."
"fibre_pairs","Fibre Pairs","Number of fibre pairs in the cable.","Format: integer. Comments: a 'pair' = one transmit + one receive fibre. Record working vs total if they differ. For historical cables, may be 'n/a (coaxial)'.","Source from system supplier / operator specs. For not-yet-built cables, use the announced pair count and flag as planned."
"estimated_lit_capacity_tbps","Estimated Lit Capacity (Tbps)","Estimated capacity currently activated (lit) and in use, as opposed to total design capacity.","Format: numeric Tbps or percentage of design, with basis stated. Comments: usually far below design capacity; often estimated.","Lit capacity is rarely officially published; where estimated, state the basis and source and flag as 'estimated'. If unknown, leave blank — do not infer from design capacity."
"tenants_iru","Tenants / IRU Holders","Parties holding capacity on the cable via Indefeasible Rights of Use (IRU) or other leases, distinct from the equity owners.","Format: semicolon-separated 'Entity (capacity / pairs, term)' where known (e.g. 'SEACOM (1 fibre pair, 12 Tbps IRU on Equiano)'). Comments: IRU = long-term capacity lease.","Record only documented IRU/lease arrangements from operator announcements. Distinguish tenants (capacity rights) from owners (equity). Cite each."
"open_access","Open-Access Flag","Whether capacity is sold to all comers on equal, non-discriminatory terms.","Format: boolean {yes, no, partial, unknown}. Comments: 'open access' is a commercial-access claim, NOT a measure of ownership — keep distinct from ownership fields.","Use the operator's stated access model, but treat marketing claims critically. Note in 'notes' that open access does not imply local/African ownership."
"build_cost_usd_m","Build Cost (USD millions)","Total reported capital cost to build the cable system, in millions of US dollars.","Format: numeric, USD millions. Comments: state nominal year of figure in 'notes'; do not inflation-adjust without flagging.","Use reported/announced build cost from a primary source. Note the year and whether figure is total system or a segment. Mark estimates clearly."
"system_supplier","System Supplier","The marine systems vendor that manufactured and/or installed the cable.","Format: free text (e.g. 'Alcatel Submarine Networks (ASN)', 'NEC', 'SubCom'). Comments: relevant to supply-chain and sovereignty analysis.","Source from the supply contract announcement. Where multiple suppliers built different segments, list all and note segments in 'notes'."
"data_source","Data Source","The authoritative source(s) for this row's values.","Format: source name(s), semicolon-separated (e.g. 'TeleGeography; operator press release'). Comments: every row must be traceable.","Prefer primary sources (operator, regulator, consortium, system supplier) over aggregators. Record one source per contested field in 'notes' if sources disagree."
"source_url","Source URL","Direct hyperlink(s) to the source evidence.","Format: URL(s), semicolon-separated. Comments: use stable/canonical links; archive (e.g. Wayback) where the source may change.","Provide a working link for verification. For paywalled/proprietary data (e.g. TeleGeography), cite the source name even if the URL is gated."
"confidence","Confidence / Reliability","Compiler's assessment of how well-evidenced the row's key figures are.","Format: controlled vocabulary {confirmed, reported, estimated, disputed}. Comments: supports the dataset's reliability standard.","'confirmed' = primary source; 'reported' = secondary/credible media; 'estimated' = derived/inferred; 'disputed' = sources conflict. Be conservative."
"as_of_date","As-Of Date","The date to which the row's status and capacity figures apply.","Format: ISO 8601 date (YYYY-MM-DD). Comments: capacity and status change over time; this anchors the snapshot.","Set to the date the figures were verified. Update when any value changes."
"last_updated","Record Last Updated","Date this row was last edited or verified by the compiler.","Format: ISO 8601 date (YYYY-MM-DD). Comments: dataset-management field.","Update on every edit. Distinct from 'as_of_date', which refers to the real-world validity of the data."
"notes","Notes","Free-text field for caveats, conflicting sources, methodology, synonyms, and anything not captured elsewhere.","Format: free text. Comments: the place to show working, especially for estimated or disputed values.","Use generously. Any estimate, derivation, or source conflict MUST be explained here so the figure is fully auditable."
