facility_id,facility_name,country,country_name,city,operational_status,year_operational,facility_type,services_offered,govt_data_hosted,operator_name,ownership_type,ownership_structure_type,ownership chain,major shareholders,government_ownership_pct,foreign_ownership_pct,controlling_entities,control_mechanisms,recent_investments,dfi_involvement,investment_usd,expansion_plans,key_tenants,hyperscaler_relationships,Microsoft,AWS,Google,cloud_act_exposure,chinese_entities,foreign_dependency_score,open_source_stack,parent_hq_country,ultimate_parent_hq_country,chinese_involvement,parent_company,ultimate_parent_company,sovereignty_category,data_residency_guarantee,local_dp_compliance,total_floor_space_sqm,rack_capacity,it_capacity_mw,submarine_cable_access,ixp_presence,carrier_neutrality,gpu_ai_capability,server_vendors,cloud_platform,security_certifications,gps_coordinates,comments,source_urls
ZWE-002,TelOne Harare Data Centre,ZWE,Zimbabwe,Harare,Operational,2008,Colocation/carrier-neutral,Colocation; Rack rental; Server hosting; Internet access; IP backbone; Exchange point hosting,Hosts government data alongside commercial,TelOne (Pvt) Ltd,Government / SOE,Wholly state-owned,Government of Zimbabwe,Government of Zimbabwe (100%),100%,,Government of Zimbabwe,Equity,,None identified,,Planned,ISPs; MNOs; Enterprise; Government,None identified,,,,No (fully domestic ownership and stack),Huawei,Moderate (mixed ownership or stack),Mixed open source and proprietary,ZWE,Zimbabwe,Construction/Equipment,Government of Zimbabwe,Government of Zimbabwe,Fully African,Partial (some data classes),Self-declared compliant,,,,Landlocked/no submarine cable access,IXP hosted on-site,Limited carriers,No evidence,Unknown,Unknown,Unknown,"-17.8300, 31.0500","TelOne Pvt Ltd (Govt SOE); 107 Union Ave Harare; ZINX/HIX (Harare Internet Exchange) hosted 2nd floor of TelOne Exchange. All fibre providers in Zimbabwe present. Colo on exchanges + towers + ducts. POTRAZ regulates. Landlocked = submarine_cable_access=4. ixp_presence=1 (IXP on-site).. [TelOne Website](https://www.telone.co.zw/products/details/data-centre-cloud-services), [Wikipedia TelOne](https://en.wikipedia.org/wiki/TelOne_Zimbabwe), [DCD NDC](https://www.datacenterdynamics.com/en/news/national-data-center-zimbabwe-opens/), [TelOne Annual Report](https://www.telone.co.zw/Content/Uploads/reports/c4dee6b5-00c2-46c6-97b0-d419b133d7cc.pdf)",https://www.datacentermap.com/zimbabwe/harare/harare-data-center/; https://www.telone.co.zw/Products/Details/colocation; https://www.itu.int/en/ITU-D/Regional-Presence/Africa/Documents/2020/contributions/RI2_POTRAZ-Zimbabwe-IXP_RDFAFR2020.pdf; 
GIN-001,GUILAB Data Centre,GIN,Guinea,Conakry,Operational,2016,Colocation/carrier-neutral,Colocation; private cabinets; partial cabinets; wholesale services to telecom operators and ISPs; shared and private hosting,No government data,GUILAB SA,Private domestic,Public-Private Partnership (PPP) limited company,Guinean Government (majority owner at 52.55%),"Guinean Government (52.55%, Guinea); Orange Guin̩e (26.25%, France); Areeba Guin̩e (7.20%, Guinea post-2024 nationalization); ETI (5.09%, Guinea); Cellcom Guin̩e (2.55%, Guinea); Mouna Group Technology (2.55%, Guinea); Intercel (1.27%, ?); Skyvision Guin̩e (1.27%, ?); VDC Telecom (1.27%, ?)[Wikipedia](https://en.wikipedia.org/wiki/Guin%C3%A9enne_de_Large_Bande)",Majority shareholder (52.55%); PPP structure ensures open access to infrastructure[GUILAB site](https://guilab.com.gn/a-propos/); cited as top performing state portfolio company[LinkedIn](https://gn.linkedin.com/company/guilab-sa),,Guinean Government (majority owner at 52.55%),Equity,,Historical: World Bank $25M grant via WARCIP for ACE participation[Wikipedia](https://en.wikipedia.org/wiki/Guin%C3%A9enne_de_Large_Bande); IFC notes potential equity opportunities but no direct investment[IFC CPSD](https://www.ifc.org/content/dam/ifc/doc/mgrt/cpsd-guinea.pdf),,No plans,,None found; no direct AWS/Azure/GCP on-ramps in Guinea[Inflect](https://inflect.com/datacenters/emea/guinea); past Facebook CDN partnership (2019)[Ecofin](https://www.ecofinagency.com/telecom/2905-40108-guinea-guilab-signs-strategic-partnership-with-facebook-to-host-a-cdn-server),,,,No (fully domestic ownership and stack),Huawei,"High (foreign ownership, proprietary stack, CLOUD Act exposure)",Unknown,GIN,Guinea,Construction/Equipment,,Guinean Government (majority owner at 52.55%),Fully African,No,No claim,,,,Connected via metro fibre,IXP connected (not hosted),Fully carrier-neutral,No evidence,Unknown,Unknown,Unknown,"9.5792, -13.6729","Located at Centre Emetteur de Kipe; Conakry. First IP PoP before end of 2016. Neutral DC manager. Domestic private operator. IXP-GUINEE is separate (datacentermap shows 0 associated DCs for IXP-GUINEE; likely GUILAB hosts IXP). ACE cable via Conakry metro fibre.. [Wikipedia](https://en.wikipedia.org/wiki/Guin%C3%A9enne_de_Large_Bande), [GUILAB](https://guilab.com.gn/a-propos/), [IFC CPSD](https://www.ifc.org/content/dam/ifc/doc/mgrt/cpsd-guinea.pdf), [Ecofin](https://www.ecofinagency.com/telecom/1105-36842-guilab-1st-iso-9001-2015-certified-operator-in-guinea), [Datacentermap](https://www.datacentermap.com/guinea/conakry/guilab-data-center/)",https://www.datacentermap.com/guinea/conakry/guilab-data-center/;https://datacenterplatform.com/countries/guinea/;https://www.colocationm.com/guinea/conakry-dc-1; 
ZAF-040,Hetzner South Africa Cape Town DC,ZAF,South Africa,Cape Town (Rondebosch),Operational,2000,Colocation/carrier-neutral,Colocation; web hosting; dedicated servers; cloud,Hosts government data alongside commercial,Hetzner South Africa (Pty) Ltd,Private domestic,Privately held Pty Ltd,Hans Wencke (founder and owner),Hans Wencke (likely 100%),,,Hans Wencke (founder and owner),Equity,,None found,,No plans,SMEs; web hosting clients; developers,None found,,,,Partial (some services exposed),,Moderate (mixed ownership or stack),Mixed open source and proprietary,ZAF,South Africa,None,Hetzner South Africa (Pty) Ltd,Hans Wencke (founder and owner),Fully African,"Yes, contractual guarantee",Self-declared compliant,,,,Dark fibre connection to landing station,IXP hosted on-site,Fully carrier-neutral,Unknown,Unknown,Unknown,ISO 27001,"-33.9762, 18.4745","Adjacent to Teraco CT1 in Rondebosch. South African Hetzner (Pty) Ltd is independent of German Hetzner (different company). Focused on SME market.. [xneelo Wikipedia](https://en.wikipedia.org/wiki/Xneelo), [ITWeb Hans Wencke owner](https://www.itweb.co.za/article/philip-delport-appointed-as-xneelo-ceo/mQwkoq6PVwA73r9A), [PAIA Manual](https://xneelo.co.za/wp-content/uploads/2019/07/PAIA-Section-51-Manual.pdf), [xneelo LinkedIn](https://za.linkedin.com/company/xneelo), [CIPC reg](https://xneelo.co.za/legal/email-disclaimer/)",https://baxtel.com/data-center/hetzer-cape-town;https://www.datacenterdynamics.com/en/news/hetzner-opens-its-second-data-centre-in-cape-town/; 
LBY-003,TransSahara Tripoli Data Center,LBY,Libya,Tripoli,Operational,2020,Colocation/carrier-neutral,Colocation; private cloud; VMs; DRaaS; backups; GPU rendering farms; Storage as a Service; government cloud,Hosts government data alongside commercial,Trans Sahara ICT (TSIC) / Tatweer JV,Joint venture (majority domestic),Private family-held conglomerate of independent entities,Husni Bey family / HB Group,"Husni Bey family members (significant stakes, no specific % disclosed) ([LBBC](https://lbbc.org.uk/team/husni-bey/), [LinkedIn Husni Bey](https://www.linkedin.com/in/husni-bey-778762165))",,,Husni Bey family / HB Group,Equity,,None identified (unrelated Trans-Sahara Optic Fiber project involves AfDB),,Actiive (under construction),Government agencies; financial sector; enterprises,"None identified; partners include Microsoft, IBM, Oracle (not hyperscalers for data centres) ([Transahara IT site](https://it.transahara.com))",,,,No (fully domestic ownership and stack),,Moderate (mixed ownership or stack),Predominantly proprietary ,LBY,Libya,None,Trans Sahara ICT (HB Group),Husni Bey family / HB Group,Fully African,"Yes, contractual guarantee",No claim,3000,,1,Connected via metro fibre,No IXP connection,Limited carriers,No evidence,Huawei,Unknown,Unknown,"32.8600, 13.1300","Located at Innovation Centre, Janzur, Tripoli (western suburb). Launched 2020 - Libya's first commercial DC. Tier III design and certified. 1MW critical power; 3,000 sqm whitespace; 7,000 sqm total. Max 54 kW/rack. 2N UPS/cooling redundancy. Huawei FusionModule1000A. JV: Trans-Sahara (private HB Group) + Tatweer (public LLIDF). Plans for 5 geo-redundant nodes total.. [HB Group](https://hbgroup.ly), [Libya Herald](https://libyaherald.com/2019/11/libyas-trans-sahara-and-moroccos-data-protect-sign-agreement-to-establish-first-data-security-operations-centre-in-libya/), [Data Center Map](https://www.datacentermap.com/c/trans-sahara/), [LBBC Husni Bey](https://lbbc.org.uk/team/husni-bey/)",https://www.colocationm.com/libya/tripoli-dc-1;https://www.datacenterdynamics.com/en/news/trans-saharan-and-tatweer-deploy-libyan-data-center/;https://it.transahara.com; 
LBY-004,TransSahara Benghazi Data Center,LBY,Libya,Benghazi,Operational,2023,Colocation/carrier-neutral,Colocation; full/partial/quarter/half cabinets; cages; cloud VMs; DRaaS; GPU rendering; Storage as a Service; build-to-suit,No government data,Trans Sahara ICT (TSIC),Private domestic,Private family-held conglomerate of independent entities,Husni Bey family / HB Group,"Husni Bey family members (significant stakes, no specific % disclosed) ([LBBC](https://lbbc.org.uk/team/husni-bey/), [LinkedIn Husni Bey](https://www.linkedin.com/in/husni-bey-778762165))",,,Husni Bey family / HB Group,Equity,,None identified (unrelated Trans-Sahara Optic Fiber project involves AfDB),,Actiive (under construction),Financial institutions; enterprises; government,"None identified; partners include Microsoft, IBM, Oracle (not hyperscalers for data centres) ([Transahara IT site](https://it.transahara.com))",,,,No (fully domestic ownership and stack),,Moderate (mixed ownership or stack),Predominantly proprietary ,LBY,Libya,None,Trans Sahara ICT (HB Group),Husni Bey family / HB Group,Fully African,"Yes, contractual guarantee",No claim,1000,,1,Connected via metro fibre,No IXP connection,Limited carriers,No evidence,Unknown,Unknown,Unknown,"32.1100, 20.0680","Located in Al-Noman Tower, Al-Berka, Benghazi. Operational 2023. Tier III (2N redundancy). 1MW critical power; 1,000 sqm whitespace; 5,000 sqm total. Max 54 kW/rack. MMR; conference room; office space; loading bay. Geo-redundant pair with TransSahara Tripoli. Private domestic (TSIC/HB Group). Benghazi under eastern government control. GPS approximate.. [HB Group](https://hbgroup.ly), [Libya Herald](https://libyaherald.com/2019/11/libyas-trans-sahara-and-moroccos-data-protect-sign-agreement-to-establish-first-data-security-operations-centre-in-libya/), [Data Center Map](https://www.datacentermap.com/c/trans-sahara/), [LBBC Husni Bey](https://lbbc.org.uk/team/husni-bey/)",https://www.colocationm.com/libya/benghazi-dc-1;https://www.datacentermap.com/libya/benghazi/transahara-banghazi/; 
LBY-005,TransSahara Misrata Data Center,LBY,Libya,Misrata,Under construction,,Colocation/carrier-neutral,Colocation; suites; cages; cloud VMs; DRaaS; GPU services,No government data,Trans Sahara ICT (TSIC),Private domestic,Private family-held conglomerate of independent entities,Husni Bey family / HB Group,"Husni Bey family members (significant stakes, no specific % disclosed) ([LBBC](https://lbbc.org.uk/team/husni-bey/), [LinkedIn Husni Bey](https://www.linkedin.com/in/husni-bey-778762165))",,,Husni Bey family / HB Group,Equity,,None identified (unrelated Trans-Sahara Optic Fiber project involves AfDB),,Planned,Enterprises; government; commercial clients,"None identified; partners include Microsoft, IBM, Oracle (not hyperscalers for data centres) ([Transahara IT site](https://it.transahara.com))",,,,No (fully domestic ownership and stack),,Moderate (mixed ownership or stack),Predominantly proprietary ,LBY,Libya,None,Trans Sahara ICT (HB Group),Husni Bey family / HB Group,Fully African,"Yes, contractual guarantee",No claim,,,1,Connected via metro fibre,No IXP connection,Limited carriers,No evidence,Unknown,Unknown,Unknown,"32.3754, 15.0925","Located on Tripoli St, near Central Post Office, Misrata. Listed as under construction on DatacenterMap. 1MW capacity noted. Part of TransSahara plan for 5 geo-redundant nodes (Tripoli, Benghazi confirmed; Misrata + 2 more planned). GPS approximate (Misrata city centre).. [HB Group](https://hbgroup.ly), [Libya Herald](https://libyaherald.com/2019/11/libyas-trans-sahara-and-moroccos-data-protect-sign-agreement-to-establish-first-data-security-operations-centre-in-libya/), [Data Center Map](https://www.datacentermap.com/c/trans-sahara/), [LBBC Husni Bey](https://lbbc.org.uk/team/husni-bey/)",https://www.datacentermap.com/libya/misrata/transahara-misrata/; 
MUS-005,Emtel Data Centre Arsenal,MUS,Mauritius,Arsenal,Operational,2020,Enterprise,Colocation; Hosting; Disaster recovery; Managed services; Monitoring; Connectivity,No government data,Emtel Ltd,Private domestic,Publicly listed holding company with significant family control (Lagesse family),IBL Ltd (controlled by GML Ltee / Lagesse family),"Esperance Et Cie Limitee (7.63%), Societe Portland (7.38%), SWAN LIFE LTD (5.92%), Benoit Lagesse (5.72%), Stephane Lagesse (1.83%), Thierry Lagesse (1.81%); GML Ltee (100% consolidated) [MarketScreener](https://www.marketscreener.com/quote/stock/IBL-LTD-64310381/company-shareholders/)",,Minimal (&lt;10%; primarily Mauritius-based per geographical breakdown),IBL Ltd (controlled by GML Ltee / Lagesse family),Equity,,None identified,,No plans,ISPs; Enterprises; Emtel subscribers,Migrated data centers to AWS cloud [NorthBay Solutions case study](https://northbaysolutions.com/case-studies/data-center-migration-from-on-premises-to-aws-cloud-for-ibl-ltd/),,Yes,,No (fully domestic ownership and stack),,Moderate (mixed ownership or stack),Mixed open source and proprietary,MUS,Mauritius,None,IBL Group,IBL Ltd (controlled by GML Ltee / Lagesse family),Fully African,"Yes, contractual guarantee",Self-declared compliant,2050,,1,Connected via metro fibre,IXP connected (not hosted),Limited carriers,No evidence,Unknown,Unknown,TIA-942-B Rated 3 (EPI cert 2020); ISO 27001,"-20.1003, 57.5545","TIA-942-B Rated 3 by EPI (awarded Sep 2020; cert expired Sep 2023; recertification status unknown); 2050sqm; 1MW; flood-free northern Mauritius; connected to SAFE and LION/LION2/TEAMS/EASSy. Green design. Operated by Emtel (MTML CHiLi brand). DPA 2017 applies.. [IBL Group official site](https://iblgroup.com), [MarketScreener shareholders](https://www.marketscreener.com/quote/stock/IBL-LTD-64310381/company-shareholders/), [AWS migration](https://northbaysolutions.com/case-studies/data-center-migration-from-on-premises-to-aws-cloud-for-ibl-ltd/), [GML-IBL history](https://www.afrasiabank.com/media/1450/gml-ibl-press-release-shareholders-vote.pdf)",https://www.datacentermap.com/mauritius/arsenal/emtel-data-centre/; https://tiaonline.org/942-datacenter/emtel-data-centre-b11-plaine-des-papayes-road-arsenal/; 
BDI-002,Lacell SU (Smart Burundi) Data Centre,BDI,Burundi,Bujumbura,Operational,,Colocation/carrier-neutral,Colocation; interconnection; carrier exchange; internet transit,No government data,Lacell SU,Private domestic,Private subsidiary (majority-owned by IPS/AKFED),"Industrial Promotion Services (IPS) Kenya, subsidiary of Aga Khan Fund for Economic Development (AKFED)","IPS Kenya (majority, Kenyan); Timeturns Holdings (minority, Cypriot/Russian)",None found (private operator; shut down by regulator for taxes),,"Industrial Promotion Services (IPS) Kenya, subsidiary of Aga Khan Fund for Economic Development (AKFED)",Equity,,"None found (AKFED is private development fund, not DFI like IFC)",,No plans,Telecoms operators; ISPs,None found,,,,No (fully domestic ownership and stack),,Moderate (mixed ownership or stack),Unknown,BDI,Kenya / Switzerland,None,,"Industrial Promotion Services (IPS) Kenya, subsidiary of Aga Khan Fund for Economic Development (AKFED)",Fully African,Unknown,No claim,,,,Landlocked/no submarine cable access,IXP connected (not hosted),Limited carriers,No evidence,Unknown,Unknown,Unknown,"-3.3820, 29.3578","Boulevard de l'Independance Bujumbura. Also known as Smart Burundi in PeeringDB. Provides access to BI-IX internet exchange. Limited public technical details. Year operational unknown.. [Wikipedia](https://en.wikipedia.org/wiki/Lacell_SU_Burundi), [SAMENA](https://www.samenacouncil.org/samena_daily_news?news=48677), [Africa Outlook](https://www.africaoutlookmag.com/company-profiles/270-smart-telecom), [IPS](https://ipsgroupco.com), [AKDN](https://the.akdn/en/how-we-work/our-agencies/aga-khan-fund-economic-development)",https://inflect.com/datacenters/africa/burundi/bujumbura;https://www.newby-ventures.com/research/db/facility/8355/25627; 
UGA-009,CFTS Data Centre,UGA,Uganda,Kampala,Operational,,Colocation/carrier-neutral,Colocation; Dedicated hosting; VPS; Virtual servers; Server room management outsourcing; On-premise POP with UIXP access,No government data,CFTS (Computer Facilities Technical Services),Private domestic,"Private limited company, majority Ugandan-owned","Locally owned by founders Tasha Mabonga-Atkin (majority shareholder, Ugandan) and Peter Atkin (likely British, Uganda-based since 1994)","Tasha Mabonga-Atkin (CEO, majority shareholder, Ugandan); Peter Atkin (Founder/CTO, likely UK origin); other co-founders/local team (Suzan Nanyonga etc., Ugandan/Rwandan)","None; holds standard certifications (NITA-U Level 2, PPDA, UNGM vendor)",,"Locally owned by founders Tasha Mabonga-Atkin (majority shareholder, Ugandan) and Peter Atkin (likely British, Uganda-based since 1994)",Equity,,None identified,,No plans,Embassies; NGOs; energy sector; SMEs; extraction companies,"None identified (offers generic cloud/hosting, partners with ZyXEL, Peplink, Aberdeen Inc., etc.)",,,,No (fully domestic ownership and stack),,"Low (domestic ownership, open source stack, local compliance)",Unknown,UGA,Uganda,None,,"Locally owned by founders Tasha Mabonga-Atkin (majority shareholder, Ugandan) and Peter Atkin (likely British, Uganda-based since 1994)",Fully African,Partial (some data classes),Self-declared compliant,,,,Landlocked/no submarine cable access,IXP connected (not hosted),Fully carrier-neutral,Unknown,Unknown,Unknown,Unknown,"0.3314, 32.5975","Located 89 Kira Rd Kampala; Tier 2; 390TB+ storage expandable to 6PB; on-premise POP with direct UIXP access; uses Aberdeen; Zyxel; Molex; Peplink equipment; domestic private company established 1994; also serves Rwanda; GPS approximate Kira Rd Kampala. [CFTS official website](https://cfts.co), [About us](https://cfts.co/about-us), [Meet the core team](https://cfts.co/meet-the-core-team), [Brief history](https://cfts.co/a-brief-history), [Contact us](https://cfts.co/contact-us), [LinkedIn Tasha Mabonga-Atkin](https://www.linkedin.com/in/tasha-mabonga-atkin-21723392), [LinkedIn Peter Atkin](https://www.linkedin.com/in/peteratkin)",https://www.datacentermap.com/uganda/kampala/cfts-data-center/; https://cfts.co; 
TUN-003,EO Data Center Sousse,TUN,Tunisia,Sousse,Operational,,Colocation/carrier-neutral,Colocation; cloud; hosting; disaster recovery,Hosts government data alongside commercial,EO Data Center,Private domestic,Private family-owned holding company subsidiary,Meninx Holding (Tamarziste family),"Meninx Holding (principal shareholder, Tunisian); Tamarziste family (Tunisia)","None; private company, supports government data sovereignty goals indirectly [Blue Tech Wave Media](https://btw.media/all/company-stories/eo-data-center-boosts-digital-infrastructure-in-angola/)",,Meninx Holding (Tamarziste family),Equity,,None identified,,No plans,Enterprise; regional clients,None identified,,,,No (fully domestic ownership and stack),,Moderate (mixed ownership or stack),Predominantly proprietary ,TUN,Tunisia,None,,Meninx Holding (Tamarziste family),Fully African,No,No claim,250,,,Connected via metro fibre,IXP connected (not hosted),Limited carriers,No evidence,Unknown,Unknown,Unknown,"35.9240, 10.5840","TIA-942 Tier 3+ self-declared. Phase 1: 250 sqm; planned expansion to 1000 sqm total. Z.I Enfidhda II 4030 Sousse. Domestic private. Year operational unknown. No Uptime cert. submarine_cable_access=3 (metro fibre to Tunis backbone).. [EO Data Center website](https://eodatacenter.com), [Datacentermap](https://www.datacentermap.com/c/mxthouse/), [AFRINIC WHOIS](https://ipgeolocation.io/browse/asn/AS37504), [Tustex](https://www.tustex.com/tags/eo-data-center), [Meninx Holding LinkedIn](https://tn.linkedin.com/company/meninx-holding1), [Agence Ecofin](https://www.agenceecofin.com/finance/2808-68724-tunisie-la-societe-d-investissement-meninx-holding-se-renforce-dans-le-capital-d-ubci), [Ilboursa](https://www.ilboursa.com/marches/meninx-holding-se-renforce-au-capital-de-l-ubci_18536)",https://www.datacentermap.com/tunisia/sousse/; https://inflect.com/datacenters/africa/tunisia; 
SOM-001,Hormuud Telecom Cable Landing Station and Data Centre,SOM,Somalia,Mogadishu,Operational,2022,Enterprise,Cable landing; Submarine cable hosting; Enterprise internet; Mobile core; Open-access CLS colocation,No government data,Hormuud Telecom Somalia Inc,Private domestic,Privately held with broad individual shareholding,No single true owner; widely held by thousands of Somali shareholders (primarily diaspora and locals),Thousands of Somali nationals and diaspora; possibly significant holdings by board members like Ahmed Mohamed Yusuf (Chairman) and Jumale family (board directors) [Hormuud Board](https://hormuud.com/board-directors),"No ownership; regulatory interactions (e.g., mobile money license, disputes resolved) but operates as private entity [Developing Telecoms](https://developingtelecoms.com/telecom-business/operator-news/16085-hormuud-telecom-resolves-dispute-with-somali-government.html)",,No single true owner; widely held by thousands of Somali shareholders (primarily diaspora and locals),Equity,,None identified; World Bank PPI page lists project but no funding/ownership details [World Bank PPI](https://ppi.worldbank.org/en/snapshots/project/hormud-telecom-somalia-2877),,No plans,ISPs; Telecom operators; Enterprise,None identified; builds own solar-powered data centers [DCD](https://www.datacenterdynamics.com/en/news/hormuud-ceo-announces-plans-for-more-green-data-centers/),,,,Unknown,Huawei|China Mobile,"High (foreign ownership, proprietary stack, CLOUD Act exposure)",Mixed open source and proprietary,SOM,Somalia,Construction/Equipment,,No single true owner; widely held by thousands of Somali shareholders (primarily diaspora and locals),Fully African,"Yes, contractual guarantee",No claim,,,,At or adjacent to cable landing station,No IXP connection,Single carrier / captive,No evidence,Unknown,Unknown,Unknown,"2.0335, 45.3418","Open-access CLS completed Nov 2022 with Vertiv; hosts DARE1 and 2Africa cables at Mogadishu; precise location undisclosed. Hormuud announced green DC expansion plans Dec 2024. Largest Somali telco; 5G launched 2024. Domestic private company. Conflict-context risk. submarine_cable_access=1 (at CLS).. [Hormuud.com](https://hormuud.com), [Wikipedia](https://en.wikipedia.org/wiki/Hormuud_Telecom), [Reuters](https://www.reuters.com/article/technology/somalias-hormuud-rings-up-telecom-profits-despite-anarchy-idUSBRE9AC0WR/), [Developing Telecoms](https://developingtelecoms.com/telecom-business/operator-news/18317-hormuud-telecom-ceo-to-step-down.html)",https://www.datacenterdynamics.com/en/news/hormuud-telecom-cable-landing-station-construction-completed-in-somalia/; https://www.telecompaper.com/news/hormuud-telecom-plans-to-build-more-green-data-centres--1521594; https://en.wikipedia.org/wiki/Hormuud_Telecom; 
MAR-014,Maroc Data Center (MDC) / 3MDC,MAR,Morocco,Temara,Operational,2017,Colocation/carrier-neutral,Colocation; public cloud; private cloud; BaaS; DRaaS; IT outsourcing,Designated national/government data centre,3MDC (formerly Maroc Datacenter),Joint venture (majority domestic),Joint venture private equity / state-owned holding,No single ultimate parent; jointly controlled by Helios Investment Partners (UK) and CDG (Morocco),Helios IV: 44%; Fipar-Holding: 40%; Founders/management: 16% [AVCA announcement](https://www.avca.africa/news-insights/member-news/helios-investment-partners-launches-digital-infrastructure-platform-in-morocco/),~40% indirect via CDG (Moroccan state-owned institution) [IFC press](https://www.ifc.org/en/pressroom/2024/ifc-fipar-holding-cdg-support-retail-holding-to-expand-food-distribution),~44% via Helios (UK) + minor via management if foreign; majority Moroccan govt control,No single ultimate parent; jointly controlled by Helios Investment Partners (UK) and CDG (Morocco),Equity,,"Helios LPs include IFC, BII/CDC [BII](https://www.bii.co.uk/en/our-impact/fund/helios-investors-iv-investment-01/), [IFC](https://disclosures.ifc.org/project-detail/SII/42753/helios-investors-iv-l-p); past IFC co-invest with Fipar/CDG",,Actiive (under construction),Government agencies; enterprises; OVHcloud,"None identified; carrier-neutral Tier III DC with hybrid cloud, strategic partnerships with unspecified 'world-leading technology providers' [DCD](https://www.datacenterdynamics.com/en/news/helios-and-fipar-merge-maroc-datacenter-munisys-and-medasys-into-new-company/)",,,,Yes (US-parented operator or hyperscaler on-ramp),,Moderate (mixed ownership or stack),Mixed open source and proprietary,GBR,UK / Morocco,None,Helios Investment Partners; Fipar-CDG,No single ultimate parent; jointly controlled by Helios Investment Partners (UK) and CDG (Morocco),Fully African,Partial (some data classes),Self-declared compliant,2000,,,Connected via metro fibre,IXP connected (not hosted),Fully carrier-neutral,"Yes, confirmed GPU/AI infrastructure",Unknown,OVHcloud Local Zone,Unknown,"33.9250, -6.9270","Founded 2017; 2000 sqm Zone industrielle Attasnia Temara; Tier III; 210+ servers; 27000 vCPUs; 7PB storage; OVHcloud Local Zone Rabat 2024; merged into 3MDC Dec 2025 (Helios 44% + Fipar 40%). [Helios site](https://www.heliosinvestment.com/our-firm), [AVCA 3MDC](https://www.avca.africa/news-insights/member-news/helios-investment-partners-launches-digital-infrastructure-platform-in-morocco/), [DCD 3MDC](https://www.datacenterdynamics.com/en/news/helios-and-fipar-merge-maroc-datacenter-munisys-and-medasys-into-new-company/), [CDG Wiki](https://en.wikipedia.org/wiki/Caisse_de_D%C3%A9p%C3%B4t_et_de_Gestion), [Companies House Helios](https://find-and-update.company-information.service.gov.uk/company/OC320980/persons-with-significant-control)",https://www.datacentermap.com/morocco/rabat/maroc-data-center-mdc/; https://www.datacenterdynamics.com/en/news/helios-and-fipar-merge-maroc-datacenter-munisys-and-medasys-into-new-company/; https://www.datacenterdynamics.com/en/news/ovh-and-maroc-dc-partner-for-local-zone-edge-location-in-rabat-morocco/; 
MAR-015,Medasys IT Center (3MDC entity),MAR,Morocco,Temara,Operational,2017,Colocation/carrier-neutral,IT integration; cloud; cybersecurity; managed services; colocation,Designated national/government data centre,3MDC (formerly Medasys MedAfrica Systems),Joint venture (majority domestic),Joint venture private equity / state-owned holding,No single ultimate parent; jointly controlled by Helios Investment Partners (UK) and CDG (Morocco),Helios IV: 44%; Fipar-Holding: 40%; Founders/management: 16% [AVCA announcement](https://www.avca.africa/news-insights/member-news/helios-investment-partners-launches-digital-infrastructure-platform-in-morocco/),~40% indirect via CDG (Moroccan state-owned institution) [IFC press](https://www.ifc.org/en/pressroom/2024/ifc-fipar-holding-cdg-support-retail-holding-to-expand-food-distribution),~44% via Helios (UK) + minor via management if foreign; majority Moroccan govt control,No single ultimate parent; jointly controlled by Helios Investment Partners (UK) and CDG (Morocco),Equity,,"Helios LPs include IFC, BII/CDC [BII](https://www.bii.co.uk/en/our-impact/fund/helios-investors-iv-investment-01/), [IFC](https://disclosures.ifc.org/project-detail/SII/42753/helios-investors-iv-l-p); past IFC co-invest with Fipar/CDG",,Planned,Public sector; enterprises,"None identified; carrier-neutral Tier III DC with hybrid cloud, strategic partnerships with unspecified 'world-leading technology providers' [DCD](https://www.datacenterdynamics.com/en/news/helios-and-fipar-merge-maroc-datacenter-munisys-and-medasys-into-new-company/)",,,,Partial (some services exposed),,Moderate (mixed ownership or stack),Mixed open source and proprietary,GBR,UK / Morocco,None,Helios Investment Partners; Fipar-CDG,No single ultimate parent; jointly controlled by Helios Investment Partners (UK) and CDG (Morocco),Fully African,"Yes, contractual guarantee",Self-declared compliant,,,,Unknown,No IXP connection,Limited carriers,"Yes, confirmed GPU/AI infrastructure",Unknown,Unknown,Unknown,"33.9200, -6.9400","Inaugurated Sep 2017; Maroc Datacenter brand; first cloud in francophone Africa; Tier III; Medasys founded 1995; merged into 3MDC Dec 2025; may share facility with MDC - listed per separate source naming. [Helios site](https://www.heliosinvestment.com/our-firm), [AVCA 3MDC](https://www.avca.africa/news-insights/member-news/helios-investment-partners-launches-digital-infrastructure-platform-in-morocco/), [DCD 3MDC](https://www.datacenterdynamics.com/en/news/helios-and-fipar-merge-maroc-datacenter-munisys-and-medasys-into-new-company/), [CDG Wiki](https://en.wikipedia.org/wiki/Caisse_de_D%C3%A9p%C3%B4t_et_de_Gestion), [Companies House Helios](https://find-and-update.company-information.service.gov.uk/company/OC320980/persons-with-significant-control)",https://uptimeinstitute.com/uptime-institute-awards/datacenter/maroc-datacenter/902; http://www.mcinet.gov.ma/en/content/maroc-datacenter-1st-cloud-computing-platform-francophone-africa; https://www.datacentermap.com/c/medafrica-systems-medasys/; 
