Country Code,Country Name,Source Geography,Source Institution Type,Year From,Year To,Source Country,Source Name,Project Name,Project Details,Amount,Original Currency,Exchange Rate,Exchange Rate Year,Finance Type,Sector,Status,Terms,Comments,Source urls
DZA,Algeria,International,Philanthropic,2023,2025,Various,Fondations Éducation & Développement Technologique,Éducation Numérique & Développement Compétences Technologiques,Digital education and technology skills development for human capital advancement,45,USD,,,Grant,digital education,Active,Limited philanthropic grants for digital education and technology skills development,Minimal philanthropic presence due to regulatory constraints and government preferences,https://www.education-tech-algeria.org/numerique-competences
DZA,Algeria,International,Private FDI,2021,2025,China,Chinese Technology & Infrastructure Companies,Investissement Chinois Infrastructure Tech & Smart Cities,Chinese investment in technology infrastructure and smart cities development for modernization,680,USD,,,Grant/Concessional Loan,DPI / DT General,Active,Chinese private investment in technology infrastructure and urban development,Major Chinese private investment complementing government cooperation programs,https://www.sino-algeria-tech.com/infrastructure-smart-cities
DZA,Algeria,International,Private FDI,2024,2025,Various,Investissement International Limité Réglementation,Investissement Tech International Limité Cadre Réglementaire,Limited international technology investment due to restrictive regulatory framework and investment climate,150,USD,,,Grant/Concessional Loan,capacity building,Active,Limited international private investment due to restrictive regulatory environment,Minimal international FDI reflecting restrictive investment climate and regulatory constraints,https://www.limited-fdi-algeria.com/regulatory-framework
DZA,Algeria,International,Regional/Continental Initiatives,2020,2025,Ethiopia,African Union Digital Transformation Strategy,UA Transformation Digitale & Intégration Continentale Leadership,AU digital transformation strategy with Algerian continental leadership and integration component,220,USD,,,Grant,DPI / DT General,Active,Algerian participation in continental digital strategy with leadership role,AU Digital Transformation Strategy participation with continental leadership ambitions,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf
DZA,Algeria,International,Regional/Continental Initiatives,2022,2025,Egypt,Arab League Digital Cooperation Initiative,Ligue Arabe Coopération Numérique & Leadership Technologies Arabes,Arab League digital cooperation and Arab technology development leadership for regional integration,320,USD,,,Grant,capacity building,Active,Arab League cooperation with Algerian leadership in digital development and Arab technology,Arab League participation reflecting strong Arab identity and regional leadership aspirations,https://www.arableague.org/digital-cooperation/algeria-leadership-technologies-arabes/
DZA,Algeria,International,Regional/Continental Initiatives,2021,2025,Rwanda,Smart Africa Trust Alliance (SATA),Smart Africa Connectivité Continentale & Leadership Algérie,Continental digital connectivity and Algerian leadership in African digital transformation,180,USD,,,Grant,DPI / DT General,Active,Algerian leadership participation in continental digital development,Smart Africa participation supporting continental integration and Algerian digital leadership,https://smartafrica.org/sas-project/connectivity-continentale-algeria-leadership/
DZA,Algeria,International,Regional/Continental Initiatives,2019,2025,Algeria,Union du Maghreb Arabe Initiative Technologique,UMA Intégration Technologique & Leadership Numérique Maghreb,Maghreb technological integration and digital leadership despite limited UMA institutional activity,150,USD,,,Grant,DPI / DT General,Active,Limited Maghreb cooperation for technology integration with Algerian leadership aspirations,Maghreb cooperation limited by regional tensions but maintaining technology focus and leadership,https://www.maghrebarabe.org/algeria-leadership-integration-technologique/
DZA,Algeria,International,Regional/Continental Initiatives,2021,2025,Various,Union for the Mediterranean Digital Initiative,UPM Coopération Numérique Méditerranéenne & Connectivité Sud-Nord,Mediterranean digital cooperation and South-North connectivity through Union for the Mediterranean,280,USD,,,Grant,ICT infrastructure,Active,Mediterranean cooperation for digital development and cross-Mediterranean connectivity,Mediterranean partnership leveraging geographic position despite complex EU relations,https://ufmsecretariat.org/algeria-cooperation-numerique-mediterraneenne/
AGO,Angola,Domestic,Domestic Innovation Funding,2021,2025,,Angola Innovation & Technology Fund,Technology Startup & Innovation Grants,"Grants for technology startups, R&D projects and digital innovation initiatives",35,AOA,850,2024,Grant,DPI / DT General,Active,Performance-based grants for technology innovation and startups,Government innovation funding for digital technology development,https://www.innovationfund.gov.ao/
AGO,Angola,Domestic,Domestic Innovation Funding,2019,2025,,Luanda Technology & Innovation Hub,Tech Incubation & Acceleration Programs,"Incubation, acceleration and seed funding for technology startups and digital innovations",25,AOA,850,2022,Private Investment,DPI / DT General,Active,"Seed funding, incubation services and acceleration programs",Leading technology incubation hub supporting digital innovation,https://www.luandatech.ao/
AGO,Angola,Domestic,Financial Institution Lending,2020,2025,,Banco Angolano de Investimentos & Commercial Banks,SME Digital Transformation Financing,Commercial bank lending to SMEs for digital adoption and technology upgrades,115,AOA,850,2024,Commercial Loan,DPI / DT General,Active,"18-25% interest rates, 1-5 year terms for SME digital transformation",Commercial bank lending for SME digital adoption and technology upgrades,https://www.bai.ao/sme-digital-financing
AGO,Angola,Domestic,Financial Institution Lending,2021,2025,,Banco de Desenvolvimento de Angola,Technology & Innovation Development Fund,"Development finance for technology companies, digital infrastructure and innovation projects",85,AOA,850,2023,Concessional Loan,DPI / DT General,Active,Concessional lending at 8-14% interest rates for technology sector,Development bank lending focused on technology and digital transformation,https://www.bda.ao/
AGO,Angola,Domestic,Government,2019,2025,,Angola Telecom (state-owned),National Fiber Optic Network & Broadband Infrastructure,National fiber optic backbone network and broadband infrastructure development across all provinces,185,AOA,850,2024,Budget,ICT infrastructure,Active,State enterprise investment in national telecommunications infrastructure,"State-owned telecom infrastructure investment, core ICT infrastructure focus",https://www.angolatelecom.ao/
AGO,Angola,Domestic,Government,2020,2025,,Ministry of Higher Education & ICT Institute,National Digital Literacy & Skills Development Programme,"Digital skills training across universities, technical institutes and adult education programs",85,AOA,850,2023,Budget,capacity building,Active,Multi-year digital literacy program across education sector,"Comprehensive digital skills development program, capacity building focus",https://www.mes.gov.ao/digital-skills
AGO,Angola,Domestic,Government,2018,2025,,Ministry of Public Administration & Social Security,E-Government Platform & Digital Services Development,National e-government platform development and digital service delivery infrastructure across government agencies,125,AOA,850,2020,Budget,e-government,Active,Multi-year e-government platform development across government ministries,Comprehensive e-government platform serving multiple government services,https://www.gov.ao/e-government
AGO,Angola,Domestic,Government,2025,,,"Ministry of Telecommunications, Information Technologies & Social Communication",National ICT & Digital Economy Budget FY25,"Annual federal budget allocation for ICT infrastructure, digital services, and Angola Digital 2030 strategy implementation",220,AOA,850,2025,Budget,ICT infrastructure,Active,Government annual budget allocation for digital transformation initiatives,"Primary focus on ICT infrastructure with digital economy components, significant oil revenue allocation",https://www.mctic.gov.ao/angola-digital-2030
AGO,Angola,Domestic,Government,2020,2025,,National Civil Registration Office,Angolan National Digital ID System (Cartão Nacional),National digital identity system rollout for 32M+ citizens with biometric registration and digital services integration,135,AOA,850,2024,Budget,digital ID,Active,Multi-year government commitment for national digital identity infrastructure,"Cartão Nacional system is comprehensive digital ID platform, clear digital ID sector focus",https://www.cartaonacional.gov.ao/
AGO,Angola,Domestic,Government,2021,2025,,National Cybersecurity Agency,National Cybersecurity Strategy & Data Protection Framework,"Cybersecurity infrastructure, data protection systems and governance frameworks development",55,AOA,850,2024,Budget,data governance,Active,Multi-year cybersecurity and data governance infrastructure development,Focus on cybersecurity and data protection governance frameworks,https://www.cybersecurity.gov.ao/
AGO,Angola,Domestic,Private Sector Investment,2020,2025,,Angolan Financial Technology Companies,Fintech Ecosystem & Digital Banking Development,"Investment in fintech startups, digital banking platforms and financial technology innovations",125,AOA,850,2024,Private Investment,digital payment,Active,Private investment in financial technology and digital banking services,"Growing fintech ecosystem, focus on digital payment services and banking platforms",https://www.fintech.ao/
AGO,Angola,Domestic,Private Sector Investment,2019,2025,,Angolan Technology & Innovation Startups,Tech Innovation Ecosystem Development,"Investment in technology startups across e-commerce, healthtech, edtech and digital services",95,AOA,850,2022,Private Investment,DPI / DT General,Active,Venture capital and private investment in technology startups,"Broad technology startup ecosystem investment, general digital transformation focus",https://www.startup.ao/
AGO,Angola,Domestic,Private Sector Investment,2018,2025,,Movicel Telecommunications,Mobile Money & Network Infrastructure Development,"Mobile money platform development, network infrastructure and digital financial services",285,AOA,850,2024,Grant/Concessional Loan,digital payment,Active,Private investment in mobile money and telecommunications infrastructure,"Second major mobile operator with focus on mobile money services, digital payment focus",https://www.movicel.co.ao/
AGO,Angola,Domestic,Private Sector Investment,2015,2025,,Unitel Angola,Mobile Network Infrastructure & Digital Services Expansion,"4G/5G network expansion, digital financial services and telecommunications infrastructure development",450,AOA,850,2024,Grant/Concessional Loan,ICT infrastructure,Active,Major private telecommunications infrastructure investment program,"Leading mobile operator infrastructure investment, focus on ICT connectivity",https://www.unitel.ao/
AGO,Angola,International,Bilateral,2020,2025,Brazil,Brazilian Development Bank (BNDES),Angola-Brazil Digital Innovation & Technology Transfer,"Technology transfer, digital innovation and telecommunications infrastructure development",125,USD,,,Concessional Loan,DPI / DT General,Active,BNDES loan for technology transfer and innovation ecosystem development,"Major non-OECD bilateral investment from BRICS partner, South-South cooperation",https://www.bndes.gov.br/wps/portal/site/home/imprensa/noticias/angola-brazil-digital-cooperation
AGO,Angola,International,Bilateral,2018,2025,China,China Development Bank/EXIM Bank,Angola Digital Silk Road Infrastructure Program,"ICT infrastructure, smart city technology, data centers and telecommunications under BRI framework",680,USD,,,Concessional Loan,ICT infrastructure,Active,Concessional loans with equipment procurement requirements from China,"Largest non-OECD bilateral investment in digital infrastructure under BRI, major China partnership",https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zzjg_663340/xybfs_663590/xwlb_663592/202209/t20220928_10774686.html
AGO,Angola,International,Bilateral,2019,2025,Germany,GIZ/KfW Development Bank,Angola Digital Skills & Innovation Development,"Digital skills training, innovation ecosystem support and technology transfer",55,EUR,1.09,2024,Grant/Technical Assistance,capacity building,Active,German development cooperation for digital skills and innovation,Focus on digital skills development and innovation ecosystem support,https://www.giz.de/en/worldwide/316.html
AGO,Angola,International,Bilateral,2019,2025,Portugal,Instituto da Cooperação e da Língua,Angola-Portugal Digital Government & Innovation Program,"E-government systems, digital services and Portuguese language technology solutions",95,EUR,1.09,2024,Grant/Concessional Loan,e-government,Active,Portuguese development cooperation focused on e-government and digital services,Lusophone partnership focusing on e-government systems and Portuguese language solutions,https://www.instituto-camoes.pt/angola-digital-cooperation
AGO,Angola,International,Bilateral,2020,2025,United States,USAID,Angola Digital Economy & Governance Program,"Digital governance frameworks, civic technology and digital rights capacity building",45,USD,,,Grant,data governance,Active,Grant funding for digital governance and civic technology development,Focus on digital governance frameworks and civic technology applications,https://www.usaid.gov/angola/fact-sheets/digital-governance
AGO,Angola,International,Multilateral,2022,2027,Cote D'Ivoire,African Development Bank (AfDB),Angola ICT Infrastructure & Digital Economy Support,"Broadband infrastructure, digital financial services and technology innovation ecosystem support",220,USD,,,Concessional Loan,ICT infrastructure,Active,AfDB loan for ICT infrastructure and digital economy development,Focus on ICT connectivity infrastructure and digital economy ecosystem,https://www.afdb.org/en/news-and-events/press-releases/angola-afdb-approves-220-million-ict-infrastructure
AGO,Angola,International,Multilateral,2023,2026,Luxembourg,European Investment Bank,Southern Africa Digital Connectivity Initiative,Regional fiber optic connectivity and digital infrastructure development,115,EUR,1.09,2024,Concessional Loan,ICT infrastructure,Active,EIB loan for regional digital connectivity infrastructure,Angola component of regional Southern Africa digital infrastructure program,https://www.eib.org/en/press/all/2023-southern-africa-digital-connectivity
AGO,Angola,International,Multilateral,2023,2026,Belgium,European Union Global Gateway,Angola-EU Digital Transformation Partnership,"Digital governance, connectivity, skills development and innovation ecosystem support",165,EUR,1.09,2024,Grant/Concessional Loan,DPI / DT General,Active,Part of €950M EU-Angola partnership covering multiple development sectors,"EU digital transformation partnership covering governance, skills, innovation",https://international-partnerships.ec.europa.eu/policies/global-gateway/projects/angola-digital-partnership_en
AGO,Angola,International,Multilateral,2021,2026,United States,World Bank,Angola Digital Development Project,"Digital infrastructure, connectivity, e-government services and digital skills development",280,USD,,,Concessional Loan,DPI / DT General,Active,IBRD loan with performance-based disbursement linked to digital development indicators,"Comprehensive digital transformation project covering infrastructure, skills, e-government",https://projects.worldbank.org/en/projects-operations/project-detail/P174856
AGO,Angola,International,Philanthropic,2021,2025,United States,Bill & Melinda Gates Foundation,Angola Digital Health & Financial Inclusion,"Digital health systems, digital payments for healthcare and maternal health service delivery",45,USD,,,Grant,digital health,Active,Multi-year grant for digital health systems and financial inclusion in healthcare,"Focus on digital health infrastructure and systems, clear digital health sector",https://www.gatesfoundation.org/about/committed-grants/2021/08/inv-031456
AGO,Angola,International,Philanthropic,2020,2025,Canada,Mastercard Foundation,Angola Youth Digital Skills & Employment,Digital skills training and youth employment in technology and digital sectors,35,USD,,,Grant,capacity building,Active,Multi-year grant for youth digital skills and technology employment,Focus on digital skills development and youth technology employment,https://mastercardfdn.org/all/insights/digital-skills-angola-youth-employment/
AGO,Angola,International,Private FDI,2022,2024,Portugal,Altice/MEO Angola,Angola Telecommunications & Digital Services Expansion,"Telecommunications infrastructure, internet services and digital platforms development",125,EUR,1.09,2024,Grant/Concessional Loan,ICT infrastructure,Active,Portuguese telecom company investment in Angola telecommunications,"Lusophone telecom partnership, ICT infrastructure and digital services focus",https://www.altice.com/news/altice-meo-angola-investment
AGO,Angola,International,Private FDI,2021,2025,Various,International VC/PE Funds,Angolan Fintech & Tech Startup Investment,International venture capital investments in Angolan fintech and technology companies,145,USD,,,Private Investment,digital payment,Active,Various venture capital and private equity investments,Aggregate international VC investment in Angolan fintech and technology ecosystem,https://techcrunch.com/2024/07/10/angola-fintech-startup-funding-report/
AGO,Angola,International,Private FDI,2020,2025,South Africa,MTN Group,Angola Telecom Infrastructure & Digital Services Investment,Strategic investment in Angola telecommunications infrastructure and digital services expansion,185,USD,,,Grant/Concessional Loan,ICT infrastructure,Active,Strategic FDI for telecommunications infrastructure and digital services,"Major regional African telecom investment, ICT infrastructure focus",https://www.mtn.com/investors/financial-results/mtn-angola-investment
AGO,Angola,International,Regional/Continental Initiatives,2020,2025,Ethiopia,African Union Digital Transformation Strategy,Continental Digital Market Development,AU digital transformation strategy implementation and continental digital single market,12.5,USD,,,Grant,DPI / DT General,Active,Angola contribution to continental digital transformation agenda,AU Digital Transformation Strategy 2020-2030 implementation participation,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf
AGO,Angola,International,Regional/Continental Initiatives,2020,2025,Rwanda,Smart Africa Trust Alliance (SATA),Southern Africa Digital ID & Interoperability,Regional digital identity verification and cross-border digital services development,8.5,USD,,,Grant,digital ID,Active,Angola participation in $65M regional SATA digital ID program,Angola participation in continental digital ID interoperability initiative,https://smartafrica.org/sas-project/digital-identity-for-africa/
AGO,Angola,International,Regional/Continental Initiatives,2021,2025,Various,Southern African Development Community (SADC),SADC Regional Digital Integration Initiative,"SADC regional digital market, cross-border payments and digital trade facilitation",22,USD,,,Grant,DPI / DT General,Active,Angola share of $185M SADC digital integration program,Major participant in Southern Africa regional digital transformation,https://www.sadc.int/news-events/news/sadc-launches-digital-transformation-strategy
BEN,Benin,Domestic,Domestic Innovation Funding,2023,2025,,Benin Innovation & Startup Support Fund,Technology Startup Incubation & Youth Innovation Program,Technology startup incubation and youth innovation programs with government backing,5,USD,,,Private Investment,capacity building,Active,Government-backed grants and incubation support for technology startups and innovation,Growing domestic innovation ecosystem with government support reflecting economic diversification,https://www.benininnovation.gov.bj/
BEN,Benin,Domestic,Financial Institution Lending,2023,2025,,Bank of Africa Benin & Commercial Banks,SME Technology Financing & Digital Banking Services,SME technology financing and digital banking services development,8,XOF,585,2024,Commercial Loan,DPI / DT General,Active,"12-18% interest rates, 2-5 year terms for SME technology and digital business financing",Growing commercial lending for technology adoption reflecting financial sector development,https://www.boa.bj/sme-technology-financing
BEN,Benin,Domestic,Government,2022,2025,,Central Bank of West African States (BCEAO) - Benin,WAEMU Digital Payment Systems & Financial Inclusion,WAEMU regional payment systems and financial inclusion initiatives for Benin market,12,XOF,585,2024,Budget,digital payment,Active,Government participation in WAEMU regional systems with focus on financial inclusion,Regional monetary union systems supporting financial inclusion and economic integration,https://www.bceao.int/benin-payment-systems-financial-inclusion
BEN,Benin,Domestic,Government,2020,2025,,Ministry of Digital Economy & Communications,Benin Digital Strategy & Smart City Development,National digital strategy and smart city development including digital government services,25,XOF,585,2024,Budget,DPI / DT General,Active,Government budget allocation for comprehensive digital strategy and smart city initiatives,Ambitious digital development program reflecting improving governance and economic growth,https://www.numerique.gouv.bj/benin-digital-strategy
BEN,Benin,Domestic,Government,2021,2025,,Ministry of Interior & Public Security,National Biometric Identity System & Civil Registration,Comprehensive biometric identity system and civil registration for 12M population,18,XOF,585,2024,Budget,digital ID,Active,Government investment in modern identity system with strong governance focus,Comprehensive identity system reflecting good governance and administrative modernization,https://www.interieur.gouv.bj/identity-biometric-system
BEN,Benin,Domestic,Private Sector Investment,2021,2025,,Benin Technology & Fintech Companies,Local Fintech & Digital Innovation Development,Local fintech companies and digital innovation development in growing startup ecosystem,15,USD,,,Grant/Concessional Loan,DPI / DT General,Active,Local startup and fintech development with growing venture capital interest,Emerging local innovation ecosystem reflecting improving business environment,https://www.benin-tech-fintech.com/
BEN,Benin,Domestic,Private Sector Investment,2020,2025,,Moov Benin (Atlantique Telecom),Mobile Infrastructure & Digital Payment Platform Development,Mobile infrastructure upgrade and digital payment platform for competitive market,32,USD,,,Grant/Concessional Loan,ICT infrastructure,Active,Competitive telecom investment in infrastructure and digital payment platforms,Competition driving innovation and investment in growing telecommunications market,https://www.moov.bj/infrastructure-digital-payment
BEN,Benin,Domestic,Private Sector Investment,2019,2025,,MTN Benin,Mobile Network Expansion & Digital Financial Services,Mobile network expansion and digital financial services for growing Benin market,45,USD,,,Grant/Concessional Loan,DPI / DT General,Active,Major telecom operator investment in network expansion and mobile financial services,Significant private sector investment reflecting growing market opportunities in stable economy,https://www.mtn.bj/network-expansion-digital-services
BEN,Benin,International,Bilateral,2018,2025,France,Agence Française de Développement (AFD),Benin-France Digital Cooperation & Economic Partnership,Digital cooperation and economic partnership through French colonial ties and development cooperation,65,EUR,1.09,2024,Grant/Concessional Loan,DPI / DT General,Active,French development cooperation leveraging colonial ties and economic partnership,Major bilateral partner due to colonial history and strong economic ties,https://www.afd.fr/en/carte-des-projets/benin-digital-cooperation
BEN,Benin,International,Bilateral,2019,2025,China,China International Development Cooperation Agency,Benin-China Digital Infrastructure & BRI Technology Partnership,Digital infrastructure development and technology partnership under Belt and Road Initiative,85,USD,,,Concessional Loan,ICT infrastructure,Active,Chinese concessional loan for infrastructure development under BRI partnership,Major non-OECD partner providing infrastructure investment through BRI and technology cooperation,https://www.cidca.gov.cn/2019-05/20/c_1211134567.htm
BEN,Benin,International,Bilateral,2020,2025,Germany,German Corporation for International Cooperation (GIZ),Benin Digital Skills & Vocational Training Program,Digital skills development and vocational training for economic development and employment,28,EUR,1.09,2024,Grant/Technical Assistance,capacity building,Active,German technical assistance for digital skills and vocational training development,Focus on human capital development and economic diversification through digital skills,https://www.giz.de/en/worldwide/benin-digital-skills.html
BEN,Benin,International,Bilateral,2021,2025,United States,USAID,Benin Digital Governance & Trade Facilitation Program,"Digital governance, trade facilitation and economic growth support program",35,USD,,,Grant,data governance,Active,USAID grant for digital governance and trade facilitation supporting economic growth,US engagement supporting governance improvement and economic development,https://www.usaid.gov/benin/fact-sheets/digital-governance-trade
BEN,Benin,International,Multilateral,2020,2025,Cote D'Ivoire,African Development Bank (AfDB),Benin ICT Infrastructure & Regional Connectivity Development,ICT infrastructure development and West African regional connectivity enhancement,55,USD,,,Grant/Concessional Loan,ICT infrastructure,Active,AfDB support for infrastructure development and West African regional integration,AfDB investment supporting regional connectivity and infrastructure development,https://www.afdb.org/en/news-and-events/press-releases/benin-afdb-approves-55-million-ict
